单位经济测算模型 v2（改"假设·可改"行结果自动重算；售价=原型BASE曲线·对齐A2锚点；首单CAC按C5口径；采购成本待真实RFQ替换=判死线H2）,,,,,
项目,说明,档位A:100张,档位B:500张,档位C:1000张,50张POD档(美国本土履约)
终端售价总价($),原型BASE曲线·≈Sticker Mule 9折（压力下限35/60/80见第24行）,62,135,200,54
数量(张),假设·可改,100,500,1000,50
终端单价($),售价÷数量,,,,
中国采购成本/张($),假设·待打样替换（RFQ回填=判死线H2）,0.08,0.05,0.03,
采购/进货成本总($),中国档=单张×数量；POD档=4over达标情景进货≤$28.5,,,,28.5
关税率,基准37.5%(301 25%+回填12.5%)；改0.35=现行情景；POD档无关税,0.375,0.375,0.375,0
关税总($),采购×税率,,,,0
批量运费总($),假设·海外仓分摊（仅标准通用SKU；<100张定制单归POD层）,1.5,3,4,0
美国履约总($),pick+本土运；POD档履约已含于进货价,5.5,6,8,0
平台支付费率,零售侧9.5%（采购侧汇率/通道费1–3%已计入采购价口径）,0.095,0.095,0.095,0.095
平台支付费总($),售价×费率,,,,
退货损耗率,假设,0.03,0.02,0.015,0.03
退货损耗总($),售价×率,,,,
经营变动成本合计($),采购+关税+运费+履约+支付费+退货（不含获客）,,,,
经营净利($)·不含获客,售价−经营变动成本,,,,
经营净利率,经营净利÷售价,,,,
首单CAC($),C5口径$80–150·取中值115可改,115,115,115,115
复购单CAC($),复购获客≈0；混合CAC=首单CAC÷期望单数；期望单数=1/(1−复购率),0,0,0,0
首单净利($)·含首单CAC,经营净利−首单CAC,,,,
首单净利率,首单净利÷售价,,,,
回本所需累计单数(含首单),首单CAC÷经营净利（每复购单贡献≈经营净利）,,,,
压力下限情景,售价35/60/80→经营净利率≈36%/16%/22%（A5）；POD档StickerGiant零折扣情景毛利≈0,,,,
注,复购率基准25/32/40%→期望单数1.33/1.47/1.67；回本约需累计2.2–4.2单≈6–13个月（A5）；50张档在H1揭晓前按获客成本科目核算,,,,
