产品规格矩阵（形态/材料/工艺/尺寸 + 用途 + 价格影响方向）,,,
分类,选项,用途/说明,价格影响
产品形态,die-cut 异形单张,logo/merch/零售单张(基准),基准
产品形态,kiss-cut 半切留白边,贴纸册/易撕/包装内附,+5-15%
产品形态,sticker sheet 多枚排一页,文创/儿童套装,按页摊薄
产品形态,roll label 卷装(贴标机兼容),产品包装/食饮(主力),比die-cut低40-50%
产品形态,transfer decal 无底转印,车窗/玻璃/户外,+20-50%或按㎡
产品形态,static cling 无胶静电,橱窗/临时促销(仅光滑面),+10-25%
产品形态,bumper 加厚+永久胶+覆膜,车贴/大规模派发,+15-30%
产品形态,clear 透明(需白墨),高端包装/瓶,+15-25%
材料,白vinyl永久,通用/户外(5-7年),基准
材料,白vinyl可移,临时/墙贴(1-2年可洁净撕),+5-10%
材料,clear vinyl,no-label观感(需白墨3-5年),+15-20%
材料,BOPP 2mil,包装首选/食饮(FDA食品接触·曲面服帖),比vinyl低15-25%
材料,holographic 全息,高端/防伪(需高对比设计),+50-100%
材料,glitter 闪粉,庆典/美妆/儿童,+40-80%
材料,mirror/chrome 镜面,汽车/高端(需覆膜),+50-100%
材料,kraft 牛皮纸,手工食品/环保(不防水),-10-20%
材料,户外 cast vinyl,车贴/户外(7-10年抗UV),+30-60%
材料,food-safe 食品安全,直接食品接触(整套face+胶+墨需认证),+10-20%
工艺,matte/gloss 覆膜,哑面/亮面(通用),常已含
工艺,Spot UV 局部立体亮油,奢侈包装,+30-60%
工艺,烫金 foil(需开模),酒标/高端,+50-150%+开模费
工艺,emboss 压纹(需开模),高端/酒/美妆,+40-100%+开模费
工艺,白墨 white ink,clear/深色基材必需,+15-30%
尺寸/形状,常见尺寸,2″/2.5″/3″/4″/5″ 方圆,—
尺寸/形状,保险杠,3″x10″ 主流,—
尺寸/形状,卷标,1″x1″~4″x6″(3″芯),—
尺寸/形状,自定义形状,上传自动生刀线,—
要点,白墨易被忽略,clear/深色基材必需·须文件设白墨层,—
要点,BOPP是食安默认,整套(face+胶+墨)需认证而非仅面材,—
要点,foil/emboss需实体开模,是MOQ驱动·非所有数码厂可做,—
要点,卷标需指定放卷方向,贴标机适配,—
